VENDOR DESCRIPTION,VENDOR ARTICLE NUMBER,IMPA,PRICE
"DAVIS MK25 plastic sextant with light, radius 178 mm. range: -5° to 120° mirrors 50 x 38 mm, index 42 x 29 mm horizon, micrometer 1' scale, shades 4 index",#12237,370332,448
Flame detector tester type T-229/4P for UV and IR detectors for distance upto 8 mtr. incl. carrying case ,#17215,390910,777.5
Sample bottle 500 ml. plastic - HDPE comlete with cap ,#08584,391216,2.2
"Sphygmomanometer, digital, wrist type ",#01595,391369,41
"Thermometer, clinical, digital ",3041,391424,5.63
"Test tube, borosilicate glass, size 20 x 150 mm. - set 20 pcs. ",80084,391471,37.47
"Test tube stand for 6 tubes incl. test tubes 10 ml, wooden ",80083,391473,33.75
"Test tube stand for 12 tubes, plastic ",80085,391474,61.88
Hand counter ( tallyman ) 4 digits with reset knob ,#09794,471855,8.25
AMBERSIL 33279 high powered air duster 340 ml ,#25824,472779,41
AMBERSIL 33183 invertible air duster 200 ml ,#28348,472780,31
Ethylene glycol in plastic bottle per ltr. ,00304_S,550907,7.13
Glycerine in plastic bottle Sg. 1.26   500 g ,300,550914,4.43
Glycerine in plastic bottle Sg. 1.26   per ltr. ,00302_S,550914,7.13
Glycerine in plastic jerrycan Sg. 1.26   5 ltr. ,00303_S,550915,37.5
Glycerine in plastic jerrycan Sg. 1.26   20 ltr. ,00300_S,550916,126
"Mercury, in plastic bottle.  p/kg. ",465,550934,90
"SMC AF50-F10 airline filter (max airflow 6500 ltr/min) connection 1"" BSP with hand drain ",#24424,590805,57.16
"SMC AL50-F10 lubricator, connection 1"" BSP max. airflow 6500 ltr/min.",#24425,590815,63.12
"SMC AR20-F02E airline pressure reducer 1/4"" BSP with pressure gauge ",#15508,590821,36.75
"SMC AR20-F02E airline pressure reducer 1/4"" BSP, inlet 15 bar - outlet 0.5 - 8.5 bar with pressure gauge ",200,590821,37.47
"SMC AR30-F03E airline pressure reducer 3/8"" BSP, inlet 15 bar - outlet 0.5 - 8.5 bar with pressure gauge ",203,590822,44.97
"SMC AR50-F10E airline pressure reducer 1"" BSP with pressure gauge max airflow 6500 ltr/min.",#01437,590825,111.75
VICTOR MARINE air duct for gas freeing fan 300 mm. x 20 mtr ,#22949,591517,839
ECLIPSE 50 mm. threaded hole M8 ferrite magnet ,#21036,613283,18.5
Strong hand magnet 136 x 110 x 10 mm. ,#12145,613283,57.2
"REFCO 525-F grabber flare tool, 5-16 mm. - 9881571 ",#26701,616778,129.5
